prod_id,product_title,dept,price_inr,img,item_description
A101,Fresh Apple Fruits,Fruits & Veggies,₹120.50,http://vendor.com/apple.jpg,Delicious Fresh Apple Fruits sourced directly for our Fruits & Veggies section.
A102,Organic Banana,Fruits & Veggies,₹60.00,http://vendor.com/banana.jpg,Premium Organic Banana sourced directly for our Fruits & Veggies section.
A103,Red Seedless Grapes,Fruits & Veggies,₹180.00,http://vendor.com/grapes.jpg,High-quality Red Seedless Grapes sourced directly for our Fruits & Veggies section.
A104,Alphonso Mango,Fruits & Veggies,₹450.00,http://vendor.com/mango.jpg,Fresh Alphonso Mango sourced directly for our Fruits & Veggies section.
A105,Whole Wheat Bread,Dairy & Bakery,₹45.00,http://vendor.com/bread.jpg,Fresh Whole Wheat Bread sourced directly for our Dairy & Bakery section.
A106,Greek Yogurt Blueberry,Dairy & Bakery,₹85.00,http://vendor.com/yogurt.jpg,Fresh Greek Yogurt Blueberry sourced directly for our Dairy & Bakery section.
A107,Full Cream Milk 1L,Dairy & Bakery,₹66.00,http://vendor.com/milk.jpg,Organic Full Cream Milk 1L sourced directly for our Dairy & Bakery section.
A108,Salted Butter 500g,Dairy & Bakery,₹255.00,http://vendor.com/butter.jpg,Fresh Salted Butter 500g sourced directly for our Dairy & Bakery section.
A109,Potato Chips Masala,Snacks,₹20.00,http://vendor.com/chips.jpg,Delicious Potato Chips Masala sourced directly for our Snacks section.
A110,Roasted Almonds,Snacks,₹350.00,http://vendor.com/almonds.jpg,Premium Roasted Almonds sourced directly for our Snacks section.
A111,Dark Chocolate 70%,Snacks,₹95.00,http://vendor.com/chocolate.jpg,Organic Dark Chocolate 70% sourced directly for our Snacks section.
A112,Green Tea Bags 25pc,Beverages,₹160.00,http://vendor.com/greentea.jpg,Best-selling Green Tea Bags 25pc sourced directly for our Beverages section.
A113,Instant Coffee 100g,Beverages,₹280.00,http://vendor.com/coffee.jpg,Best-selling Instant Coffee 100g sourced directly for our Beverages section.
A114,Orange Juice 1L,Beverages,₹110.00,http://vendor.com/juice.jpg,Organic Orange Juice 1L sourced directly for our Beverages section.
A115,Basmati Rice 5kg,Staples,₹650.00,http://vendor.com/rice.jpg,Organic Basmati Rice 5kg sourced directly for our Staples section.
A116,Red Lentils 1kg,Staples,₹140.00,http://vendor.com/dal.jpg,Best-selling Red Lentils 1kg sourced directly for our Staples section.
A117,Sunflower Oil 1L,Staples,₹175.00,http://vendor.com/oil.jpg,High-quality Sunflower Oil 1L sourced directly for our Staples section.
A118,Table Salt 1kg,Staples,₹25.00,http://vendor.com/salt.jpg,Best-selling Table Salt 1kg sourced directly for our Staples section.
A119,Aloe Vera Shampoo,Personal Care,₹220.00,http://vendor.com/shampoo.jpg,High-quality Aloe Vera Shampoo sourced directly for our Personal Care section.
A120,Moisturizing Soap,Personal Care,₹45.00,http://vendor.com/soap.jpg,Fresh Moisturizing Soap sourced directly for our Personal Care section.
A105,Whole Wheat Bread,Dairy & Bakery,₹45.00,http://vendor.com/bread.jpg,Best-selling Whole Wheat Bread sourced directly for our Dairy & Bakery section.
A121,Pomegranate 1kg,Fruits & Veggies,₹210.00,http://vendor.com/pomegranate.jpg,Premium Pomegranate 1kg sourced directly for our Fruits & Veggies section.
A122,Fresh Spinach Bunch,Fruits & Veggies,₹30.00,http://vendor.com/spinach.jpg,High-quality Fresh Spinach Bunch sourced directly for our Fruits & Veggies section.
A123,Carrot Orange 500g,Fruits & Veggies,₹40.00,http://vendor.com/carrot.jpg,Organic Carrot Orange 500g sourced directly for our Fruits & Veggies section.
A124,Broccoli 250g,Fruits & Veggies,₹90.00,http://vendor.com/broccoli.jpg,Best-selling Broccoli 250g sourced directly for our Fruits & Veggies section.
A125,Cheddar Cheese Slice,Dairy & Bakery,₹150.00,http://vendor.com/cheese.jpg,Premium Cheddar Cheese Slice sourced directly for our Dairy & Bakery section.
A126,Paneer 200g,Dairy & Bakery,₹90.00,http://vendor.com/paneer.jpg,Fresh Paneer 200g sourced directly for our Dairy & Bakery section.
A127,Eggs 12pc,Dairy & Bakery,₹84.00,http://vendor.com/eggs.jpg,Best-selling Eggs 12pc sourced directly for our Dairy & Bakery section.
A128,Oat Milk 1L,Dairy & Bakery,₹190.00,http://vendor.com/oatmilk.jpg,Organic Oat Milk 1L sourced directly for our Dairy & Bakery section.
A129,Corn Flakes 500g,Snacks,₹175.00,http://vendor.com/cornflakes.jpg,Fresh Corn Flakes 500g sourced directly for our Snacks section.
A130,Digestive Biscuits,Snacks,₹35.00,http://vendor.com/biscuits.jpg,Fresh Digestive Biscuits sourced directly for our Snacks section.
A131,Mixed Nuts 200g,Snacks,₹420.00,http://vendor.com/mixednuts.jpg,Organic Mixed Nuts 200g sourced directly for our Snacks section.
A132,Sparkling Water 500ml,Beverages,₹50.00,http://vendor.com/water.jpg,Premium Sparkling Water 500ml sourced directly for our Beverages section.
A133,Tomato Ketchup 1kg,Staples,₹130.00,http://vendor.com/ketchup.jpg,Delicious Tomato Ketchup 1kg sourced directly for our Staples section.
A134,Honey 250g,Staples,₹155.00,http://vendor.com/honey.jpg,Premium Honey 250g sourced directly for our Staples section.
A135,Toothpaste 150g,Personal Care,₹95.00,http://vendor.com/toothpaste.jpg,Fresh Toothpaste 150g sourced directly for our Personal Care section.
A136,Hand Wash 250ml,Personal Care,₹80.00,http://vendor.com/handwash.jpg,Best-selling Hand Wash 250ml sourced directly for our Personal Care section.
A137,Face Cream 50g,Personal Care,₹299.00,http://vendor.com/facecream.jpg,Fresh Face Cream 50g sourced directly for our Personal Care section.
A138,Dishwash Liquid 500ml,Home Care,₹105.00,http://vendor.com/dishwash.jpg,Premium Dishwash Liquid 500ml sourced directly for our Home Care section.
A139,Laundry Detergent 1kg,Home Care,₹195.00,http://vendor.com/detergent.jpg,Best-selling Laundry Detergent 1kg sourced directly for our Home Care section.
A140,Floor Cleaner 1L,Home Care,₹165.00,http://vendor.com/floorcleaner.jpg,High-quality Floor Cleaner 1L sourced directly for our Home Care section.
A141,Sweet Lime 1kg,Fruits & Veggies,₹110.00,http://vendor.com/sweetlime.jpg,Premium Sweet Lime 1kg sourced directly for our Fruits & Veggies section.
A142,Kiwi 3pc,Fruits & Veggies,₹145.00,http://vendor.com/kiwi.jpg,Fresh Kiwi 3pc sourced directly for our Fruits & Veggies section.
A143,Red Onion 1kg,Fruits & Veggies,₹45.00,http://vendor.com/onion.jpg,Fresh Red Onion 1kg sourced directly for our Fruits & Veggies section.
A144,Potato Jyoti 2kg,Fruits & Veggies,₹70.00,http://vendor.com/potato.jpg,Fresh Potato Jyoti 2kg sourced directly for our Fruits & Veggies section.
A145,Whipping Cream 250ml,Dairy & Bakery,₹180.00,http://vendor.com/cream.jpg,High-quality Whipping Cream 250ml sourced directly for our Dairy & Bakery section.
